atomic_ea_minimo,atomic_ea_maximo,atomic_ea_soma,atomic_en_allen _soma,atomic_en_allen _desvio,atomic_en_allredroch_minimo,atomic_hatm_minimo,atomic_spacegroupnum_maximo,atomic_spacegroupnum_desvio,electrical_resist_maximo,mineral_hardness_maximo,van_der_waals_rad_minimo,vel_of_sound_minimo
10.0,141.0,321.7,3.61,1.345367566462373,1.06,152.0,225.0,71.04556440920308,74.0,5.5,150.0,317.5
10.0,141.0,321.7,3.61,1.345367566462373,1.06,152.0,225.0,71.04556440920308,74.0,5.5,150.0,317.5
2.37,141.0,274.07,4.644,1.323303945937339,1.04,178.0,225.0,71.04556440920308,74.0,5.5,150.0,317.5
10.0,141.0,321.7,3.61,1.345367566462373,1.08,249.0,194.0,67.82739531749363,131.0,5.5,150.0,317.5
10.0,141.0,321.7,3.61,1.345367566462373,1.08,249.0,194.0,67.82739531749363,131.0,5.5,150.0,317.5
10.0,141.0,342.1,3.61,1.345367566462373,1.06,152.0,225.0,71.04556440920308,131.0,5.5,150.0,317.5
10.0,141.0,342.1,3.61,1.345367566462373,1.06,152.0,225.0,71.04556440920308,131.0,5.5,150.0,317.5
29.6,141.0,211.7,3.61,1.701770320055624,1.11,249.0,194.0,85.79562278396776,60.0,5.0,150.0,317.5
29.6,141.0,211.7,3.61,1.701770320055624,1.11,249.0,194.0,85.79562278396776,60.0,5.0,150.0,317.5
10.0,141.0,321.7,3.61,1.345367566462373,1.06,152.0,225.0,71.04556440920308,74.0,5.5,150.0,317.5
10.0,141.0,321.7,3.61,1.345367566462373,1.06,152.0,225.0,71.04556440920308,74.0,5.5,150.0,317.5
2.37,141.0,274.07,4.644,1.323303945937339,1.04,178.0,225.0,71.04556440920308,74.0,5.5,150.0,317.5
2.37,141.0,274.07,4.644,1.323303945937339,1.04,178.0,225.0,71.04556440920308,74.0,5.5,150.0,317.5
10.0,141.0,321.7,3.61,1.345367566462373,1.08,249.0,194.0,67.82739531749363,131.0,5.5,150.0,317.5
10.0,141.0,321.7,3.61,1.345367566462373,1.08,249.0,194.0,67.82739531749363,131.0,5.5,150.0,317.5
