trial	mean_acc	n_ok_folds	n_fail_folds	params_json
157	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 8, "model__random_type": "normal", "model__treinador": "no_re"}
158	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 8, "model__random_type": "uniform", "model__treinador": "no_re"}
159	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 9, "model__random_type": "normal", "model__treinador": "no_re"}
160	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 9, "model__random_type": "uniform", "model__treinador": "no_re"}
161	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 10, "model__random_type": "normal", "model__treinador": "no_re"}
162	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 10, "model__random_type": "uniform", "model__treinador": "no_re"}
163	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 13, "model__random_type": "normal", "model__treinador": "no_re"}
164	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 13, "model__random_type": "uniform", "model__treinador": "no_re"}
165	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 17, "model__random_type": "normal", "model__treinador": "no_re"}
166	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 17, "model__random_type": "uniform", "model__treinador": "no_re"}
167	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 25, "model__random_type": "normal", "model__treinador": "no_re"}
168	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 25, "model__random_type": "uniform", "model__treinador": "no_re"}
169	0.6	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 0, "model__random_type": "normal", "model__treinador": "no_re"}
170	0.6000000000000001	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 0, "model__random_type": "uniform", "model__treinador": "no_re"}
171	0.6	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 1, "model__random_type": "normal", "model__treinador": "no_re"}
172	0.6000000000000001	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 1, "model__random_type": "uniform", "model__treinador": "no_re"}
173	0.6	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 2, "model__random_type": "normal", "model__treinador": "no_re"}
174	0.6000000000000001	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 2, "model__random_type": "uniform", "model__treinador": "no_re"}
175	0.6	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 3, "model__random_type": "normal", "model__treinador": "no_re"}
176	0.6000000000000001	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 3, "model__random_type": "uniform", "model__treinador": "no_re"}
177	0.6	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 4, "model__random_type": "normal", "model__treinador": "no_re"}
178	0.6000000000000001	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 4, "model__random_type": "uniform", "model__treinador": "no_re"}
179	0.6	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 5, "model__random_type": "normal", "model__treinador": "no_re"}
180	0.6000000000000001	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 5, "model__random_type": "uniform", "model__treinador": "no_re"}
181	0.6	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 6, "model__random_type": "normal", "model__treinador": "no_re"}
182	0.6000000000000001	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 6, "model__random_type": "uniform", "model__treinador": "no_re"}
183	0.6	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 7, "model__random_type": "normal", "model__treinador": "no_re"}
184	0.6000000000000001	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 7, "model__random_type": "uniform", "model__treinador": "no_re"}
185	0.6	5	0	{"model__hidden_units": 6, "model__activation_function": "relu", "model__C": 8, "model__random_type": "normal", "model__treinador": "no_re"}
